pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods
10,1,2,237212.0206024096,237212.0206024096,197929.0467272727,197929.0467272727,0.0,0.0,0.0,0.0
10,1,4,121086.08677736777,7550.658529996807,102973.41729166667,102973.41729166667,0.0,182.0,0.0,0.0
10,2,2,86113.57355742298,55729.45066980449,56547.80172413794,18836.637312147028,0.0,6.0,0.0,22.0
17,7,7,13923.540729507544,6688.89026377542,8400.339366515836,9418.318656073514,0.0,19.0,0.0,1.0
50,1,2,47442.40413012048,47442.40413012048,39585.80934909091,39585.80934909091,0.0,0.0,0.0,0.0
50,1,4,24318.920101284588,7550.658529996807,20594.6834625,20594.6834625,0.0,142.0,0.0,0.0
50,2,2,17693.726567781992,12377.351459472497,11309.560344827587,9418.318656073514,0.0,22.0,0.0,14.0
75,3,5,7583.909041271404,4887.585900109127,3493.7656458055926,4973.119787717968,0.0,42.0,0.0,5.0
100,1,2,23300.11563786982,23300.11563786982,19792.90467545454,19792.90467545454,0.0,0.0,0.0,0.0
100,1,4,12159.460050642294,7550.658529996807,10297.341731770834,10297.341731770834,0.0,92.0,0.0,0.0
100,2,2,8771.306069901362,7358.834572357413,5654.7801724137935,4709.159328036757,0.0,20.0,0.0,28.0
115,4,2,3741.805526865296,3253.674287615985,2278.542812481908,2354.5796640183785,0.0,17.0,0.0,13.0
287,1,6,3845.1987127786256,3717.4138069894025,2779.8105046722626,2800.3964049769556,0.0,11.0,0.0,1.0
400,1,2,4955.66460389216,4392.2471260301345,4948.226168806817,4948.226168806817,0.0,44.0,0.0,0.0
400,1,4,3043.0599249227203,2516.8861766656023,2574.3354329427084,2574.3354329427084,0.0,176.0,0.0,0.0
400,2,2,2111.678721130407,1950.511933285456,1413.6950431034484,1448.9721009343868,0.0,32.0,0.0,16.0
439,1,9,2181.2001981347853,1587.5833294354443,1013.10432930086,1575.2229777995376,1.0,161.0,0.0,9.0
1000,1,2,1784.990017289313,1685.6560985612143,1979.2904675363638,1979.2904675363638,0.0,52.0,0.0,0.0
1000,1,4,1448.4039418870236,1258.4430883328012,1029.7341731770832,1029.7341731770832,0.0,152.0,0.0,0.0
1000,2,2,827.3143279224187,820.8992487968505,565.4780172413793,588.6449160045946,0.0,8.0,0.0,24.0
