pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,spotkube_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods,spotkube_excess_pods
1,1,1,955568.6056338028,719914.0258064517,955568.6056338028,609554.108359133,955568.6056338028,0.0,1.0,0.0,1.0,0.0
5,1,1,269917.0953630796,239971.34181600955,191113.72093896716,203184.70295837632,226171.09222614844,0.0,1.0,0.0,1.0,0.0
6,1,1,239971.34181600955,239971.34181600955,159261.4341418884,203184.70295837632,201905.92390430238,0.0,0.0,0.0,0.0,0.0
10,1,1,143982.8050752688,143982.8050752688,95556.86051643193,121910.82173374612,81781.76429153096,0.0,0.0,0.0,0.0,0.0
14,1,1,102844.8607636603,102844.8607636603,68254.900354508,87079.15840020218,46431.641073002815,0.0,0.0,0.0,0.0,0.0
15,1,1,94005.69815455594,89989.25317540322,63704.57366718831,76194.26359326624,65795.25966903074,0.0,1.0,0.0,1.0,0.0
17,1,1,83153.05577242338,79990.44727200318,56209.91794596878,67728.23431945877,31242.09086928889,0.0,1.0,0.0,1.0,0.0
20,1,1,71991.4025376344,71991.4025376344,47778.43024647888,60955.41088235294,32968.29050620445,0.0,0.0,0.0,0.0,0.0
25,1,1,55808.89786168089,54968.80489453075,38222.74419530517,46888.777602725924,22781.949196471527,0.0,1.0,0.0,1.0,0.0
30,1,1,47483.69104018913,47483.69104018913,31852.286833594157,40636.940584795324,14601.76314228387,0.0,0.0,0.0,0.0,0.0
35,1,1,40254.25845624641,39429.92011843999,27301.9601418032,33864.117154951644,15564.144617196325,0.0,1.0,0.0,1.0,0.0
40,1,1,35424.34093386243,35424.34093386243,23889.21512323944,30477.70544117647,8759.586410952144,0.0,0.0,0.0,0.0,0.0
45,1,1,31238.25049002688,30740.13056254242,21234.857889062772,26502.352557837385,10286.319165792846,0.0,1.0,0.0,1.0,0.0
50,1,1,28249.790870886078,28249.790870886078,19111.372099530516,24382.164351702784,7475.048025068786,0.0,0.0,0.0,0.0,0.0
